CMDLINE C:\Users\alexa\Anaconda3\python.exe aoc18v4.py
MEM 0.523438 1577128645.9244
MEM 13.195312 1577128646.0289
MEM 23.375000 1577128646.1382
MEM 30.300781 1577128646.2476
MEM 37.597656 1577128646.3570
MEM 45.574219 1577128646.4698
MEM 57.015625 1577128646.5823
MEM 60.136719 1577128646.6917
MEM 67.695312 1577128646.8010
MEM 67.812500 1577128646.9104
MEM 67.914062 1577128647.0198
MEM 67.914062 1577128647.1291
MEM 67.914062 1577128647.2385
MEM 67.914062 1577128647.3479
MEM 70.097656 1577128647.4480
MEM 77.382812 1577128647.5628
MEM 81.960938 1577128647.6722
MEM 72.398438 1577128647.7815
MEM 72.433594 1577128647.8911
MEM 72.433594 1577128648.0015
MEM 72.433594 1577128648.1109
MEM 72.433594 1577128648.2215
MEM 72.433594 1577128648.3308
MEM 72.433594 1577128648.4413
MEM 72.433594 1577128648.5518
MEM 72.433594 1577128648.6611
MEM 72.433594 1577128648.7705
MEM 72.433594 1577128648.8799
MEM 74.929688 1577128648.9892
MEM 81.285156 1577128649.0986
MEM 88.890625 1577128649.2080
MEM 66.328125 1577128649.3176
