CMDLINE C:\Users\alexa\Anaconda3\python.exe aoc18v4.py
MEM 0.617188 1577128839.2985
MEM 13.300781 1577128839.3991
MEM 22.292969 1577128839.5000
MEM 29.644531 1577128839.6093
MEM 37.359375 1577128839.7187
MEM 38.382812 1577128839.8281
